,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
ANGIOGENESIS,GOBP,GO:0001525,0,1.932991615,0,0,0,2.439408058,0,1.775600593,1.645586963,0
NUCLEAR TRANSPORT,GOBP,GO:0051169,0,0,3.978560229,2.560465179,0,0,0,1.723727741,0,5.560516913
POSITIVE REGULATION OF GLUCOSE METABOLIC PROCESS,GOBP,GO:0010907,1.881121999,2.602768319,0,1.365170392,1.3296792,0,0,0,0,0
RESPONSE TO GLUCOCORTICOID,GOBP,GO:0051384,1.76284392,0,0,0,0,0,2.907026675,1.57915496,2.536595949,0
RESPONSE TO TOXIC SUBSTANCE,GOBP,GO:0009636,0,0,1.470152711,0,0,0,2.126488682,1.803872162,2.999318453,0
REGULATION OF STEROID METABOLIC PROCESS,GOBP,GO:0019218,0,0,0,3.201516271,0,1.67718536,0,1.464547066,2.220784664,0
REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS,GOBP,GO:1903362,0,0,2.47749818,1.356232179,0,0,0,1.367942333,0,1.717724311
REGULATION OF HISTONE MODIFICATION,GOBP,GO:0031056,0,0,1.627871818,1.482011554,0,0,0,1.391481698,0,1.660669382
REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:1900076,0,0,2.038866043,1.71350302,1.507063653,1.912876891,0,0,0,0
REGULATION OF PURINE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:1900542,0,0,0,2.046718048,0,0,0,3.449766823,1.878596093,6.71620128
CELLULAR RESPONSE TO DRUG,GOBP,GO:0035690,0,0,2.701856414,1.41098847,0,0,0,1.889242387,3.09915336,0
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE,GOBP,GO:0006613,0,2.427463533,1.309672766,0,0,0,0,4.19347143,0,29.87711382
RESPONSE TO RADIATION,GOBP,GO:0009314,0,2.473586813,1.38093489,0,0,0,0,2.257549827,2.684538235,0
REGULATION OF NIK/NF-KAPPAB SIGNALING,GOBP,GO:1901222,0,0,1.747598029,0,0,0,0,1.546117381,2.407884443,1.329115215
CARBOXYLIC ACID BIOSYNTHETIC PROCESS,GOBP,GO:0046394,0,0,0,2.464017764,0,0,0,2.948666281,5.728284595,1.666588787
REGULATION OF POSTSYNAPSE ORGANIZATION,GOBP,GO:0099175,1.494148979,2.481443908,2.159391018,1.797816262,0,0,0,0,0,0
REGULATION OF CELL MORPHOGENESIS,GOBP,GO:0022604,1.804558559,2.852283336,2.701880682,0,0,0,0,0,2.183702185,0
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS,GOBP,GO:0000956,0,2.863515416,2.243973164,0,0,0,0,7.987873593,0,26.70997675
POSITIVE REGULATION OF HEMOPOIESIS,GOBP,GO:1903708,1.572128305,0,0,0,0,0,0,2.542714963,1.533635852,2.087474322
RESPONSE TO TUMOR NECROSIS FACTOR,GOBP,GO:0034612,0,0,0,0,0,0,2.293467718,5.599836517,5.185053735,1.997135834
NEGATIVE REGULATION OF LIPID METABOLIC PROCESS,GOBP,GO:0045833,1.632164401,0,0,0,0,1.689602045,0,2.565134616,2.921540213,0
HOMEOSTASIS OF NUMBER OF CELLS,GOBP,GO:0048872,0,0,1.629203414,1.916563021,1.896639979,0,0,0,0,1.591786377
REGULATION OF MIRNA METABOLIC PROCESS,GOBP,GO:2000628,0,0,1.874509845,1.685637515,0,0,0,3.871615041,0,2.745852372
CELLULAR SENESCENCE,GOBP,GO:0090398,0,0,2.373714939,0,1.44123403,2.921293424,0,0,1.68762294,0
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION",GOBP,GO:0043371,0,0,0,0,1.77199666,0,0,1.717365028,2.174693158,1.858101078
POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001235,0,0,3.436414371,0,0,0,0,2.342810888,1.533036545,1.799305802
INSULIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0008286,0,2.840346376,4.281285684,0,1.357610827,0,0,2.125284411,0,0
NEGATIVE REGULATION OF SECRETION BY CELL,GOBP,GO:1903531,1.390874784,1.320780411,0,0,2.890995752,0,0,1.647759266,0,0
MITOTIC CELL CYCLE PHASE TRANSITION,GOBP,GO:0044772,0,0,2.583160458,1.763650507,0,4.416001321,0,2.909567064,0,0
STEROID METABOLIC PROCESS,GOBP,GO:0008202,0,0,1.660057114,0,0,2.212035744,1.738797659,0,3.130163502,0
POSITIVE REGULATION OF NEURON DIFFERENTIATION,GOBP,GO:0045666,1.563467067,3.980600414,2.744837254,1.793594828,0,0,0,0,0,0
REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL,GOBP,GO:1903320,0,0,2.974326095,1.578294449,0,0,0,5.274184421,0,3.313166495
REGULATION OF GTPASE ACTIVITY,GOBP,GO:0043087,3.561912677,0,3.13191765,1.408118356,0,0,0,0,1.618784656,0
LEUKOCYTE HOMEOSTASIS,GOBP,GO:0001776,0,0,1.461632203,0,2.533779534,0,2.173766871,2.146341006,0,0
REGULATION OF ORGANELLE ASSEMBLY,GOBP,GO:1902115,1.403153655,0,3.144136974,0,0,0,0,1.538871066,2.246889168,0
APOPTOTIC SIGNALING PATHWAY,GOBP,GO:0097190,0,2.005591044,3.522274177,0,0,0,0,3.438333043,1.986253818,0
PROTEIN TARGETING,GOBP,GO:0006605,0,1.828971383,2.285412801,0,0,0,0,2.713190061,0,18.38952051
REGULATION OF MRNA STABILITY,GOBP,GO:0043488,0,0,1.43088275,1.369592347,0,0,0,2.815720472,0,3.842436709
DEVELOPMENTAL GROWTH,GOBP,GO:0048589,2.069213271,0,0,1.973221569,0,1.676838335,0,1.471388363,0,0
RNA CATABOLIC PROCESS,GOBP,GO:0006401,0,2.843957315,2.157138349,0,0,0,0,7.448479487,0,26.64516557
NEUTROPHIL ACTIVATION,GOBP,GO:0042119,0,1.316381772,2.281807416,0,0,0,1.548119304,0,3.595021622,0
CENTROSOME CYCLE,GOBP,GO:0007098,0,0,0,1.450348275,1.332948637,1.727828397,0,0,1.689862706,0
PROTEIN TARGETING TO MEMBRANE,GOBP,GO:0006612,0,1.386380106,1.864434525,0,0,0,0,2.964201093,0,23.58627023
"RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE",GOBP,GO:0000377,0,3.197298104,3.596407232,1.321793887,0,0,0,0,0,3.597667576
"MRNA SPLICING, VIA SPLICEOSOME",GOBP,GO:0000398,0,3.197298104,3.596407232,1.321793887,0,0,0,0,0,3.597667576
TRANSLATION,GOBP,GO:0006412,0,2.175518133,3.302203684,0,0,0,0,5.637419688,0,23.08299209
SPINDLE LOCALIZATION,GOBP,GO:0051653,1.404826938,0,1.404121965,2.333899279,0,1.347496857,0,0,0,0
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS,GOBP,GO:0043618,0,1.694061301,1.828290929,0,0,0,0,3.22055599,0,2.995494784
REGULATION OF ATP METABOLIC PROCESS,GOBP,GO:1903578,0,0,0,2.461909321,0,0,0,4.112326637,2.244553975,6.890122605
PLASMA LIPOPROTEIN PARTICLE CLEARANCE,GOBP,GO:0034381,3.486161163,0,0,0,2.272608426,1.591994414,1.654117229,0,0,0
ACYLGLYCEROL BIOSYNTHETIC PROCESS,GOBP,GO:0046463,0,0,0,0,1.545093197,1.835365545,0,1.400492271,0,1.534628474
AROMATIC COMPOUND CATABOLIC PROCESS,GOBP,GO:0019439,0,2.205071058,1.564416998,0,0,0,0,7.059102459,0,15.84575503
MITOTIC G2/M TRANSITION CHECKPOINT,GOBP,GO:0044818,0,0,0,0,1.394463541,0,0,2.681545515,1.61984151,1.325490591
NEGATIVE REGULATION OF T-HELPER CELL DIFFERENTIATION,GOBP,GO:0045623,0,0,0,0,1.940582682,0,0,1.959568805,2.427715523,2.104138498
NUCLEOCYTOPLASMIC TRANSPORT,GOBP,GO:0006913,0,0,4.06473368,2.604456084,0,0,0,1.761298297,0,5.63861088
TRIGLYCERIDE BIOSYNTHETIC PROCESS,GOBP,GO:0019432,0,0,0,0,1.77199666,2.06768018,0,1.717365028,0,1.858101078
REGULATION OF PROTEIN STABILITY,GOBP,GO:0031647,0,0,3.695185536,0,0,0,0,2.268183586,1.399446699,1.345967249
STRESS-ACTIVATED MAPK CASCADE,GOBP,GO:0051403,0,1.795180474,2.405760979,0,0,0,0,2.211457182,1.417484295,0
REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY,GOBP,GO:0032231,2.006743337,1.926299139,2.621134822,2.379206153,0,0,0,0,0,0
PURINE-CONTAINING COMPOUND METABOLIC PROCESS,GOBP,GO:0072521,0,0,2.295654871,0,0,0,0,2.795586602,1.771434758,4.346278436
RESPONSE TO MECHANICAL STIMULUS,GOBP,GO:0009612,0,0,1.776205231,0,1.422592754,1.393305172,0,0,1.982117051,0
REPRODUCTIVE STRUCTURE DEVELOPMENT,GOBP,GO:0048608,0,0,0,0,0,2.42079849,2.626544693,3.095089583,2.309298069,0
MITOTIC DNA DAMAGE CHECKPOINT,GOBP,GO:0044773,0,1.926299139,1.737009214,0,0,3.385930709,0,2.366511396,0,0
ESTABLISHMENT OF SPINDLE LOCALIZATION,GOBP,GO:0051293,1.541812935,0,1.590195034,2.521781473,0,1.425553194,0,0,0,0
CELLULAR PROTEIN COMPLEX DISASSEMBLY,GOBP,GO:0043624,0,0,3.080718484,0,0,2.731173258,0,1.985941143,0,2.855103212
CELLULAR NITROGEN COMPOUND CATABOLIC PROCESS,GOBP,GO:0044270,0,2.297393036,1.873787321,0,0,0,0,6.767602754,0,16.16308981
STEROL HOMEOSTASIS,GOBP,GO:0055092,1.309127453,0,0,0,1.409118805,2.727029259,2.849635099,0,0,0
NEGATIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION,GOBP,GO:0046639,0,0,0,0,1.634028749,0,0,1.523343949,1.969964176,1.660291411
CELLULAR RESPONSE TO TUMOR NECROSIS FACTOR,GOBP,GO:0071356,0,0,0,0,0,0,2.51851174,5.219543256,3.963582486,1.595621311
REGULATION OF EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050678,1.513525327,0,0,0,0,1.722284071,0,1.550057836,0,1.976101983
MITOTIC DNA INTEGRITY CHECKPOINT,GOBP,GO:0044774,0,1.837645021,1.627875187,0,0,3.306074996,0,2.261702527,0,0
MITOTIC G1/S TRANSITION CHECKPOINT,GOBP,GO:0044819,0,2.303578935,2.544247371,0,0,4.293742861,0,2.889062699,0,0
POSITIVE REGULATION OF AMINE TRANSPORT,GOBP,GO:0051954,1.344933267,2.041967521,0,0,1.44123403,1.728437144,0,0,0,0
REGULATION OF AMINE TRANSPORT,GOBP,GO:0051952,1.674441961,3.396809934,0,0,2.049830721,1.714919863,0,0,0,0
NEGATIVE REGULATION OF SMALL MOLECULE METABOLIC PROCESS,GOBP,GO:0062014,1.404125161,0,0,0,0,1.550249053,0,2.802652777,3.293503825,0
HEXOSE METABOLIC PROCESS,GOBP,GO:0019318,1.492075073,0,0,1.863072504,0,0,0,1.320513298,3.394620982,0
PYRUVATE METABOLIC PROCESS,GOBP,GO:0006090,0,0,1.399967842,1.305400616,0,0,0,2.731698058,2.914418105,0
LYMPHOCYTE HOMEOSTASIS,GOBP,GO:0002260,0,0,1.550701763,0,2.989274814,0,1.47004212,2.042855838,0,0
NEGATIVE REGULATION OF TRANSLATION,GOBP,GO:0017148,0,0,3.742641227,0,0,0,0,2.587981669,1.511255981,1.457894933
NEGATIVE REGULATION OF CELLULAR AMIDE METABOLIC PROCESS,GOBP,GO:0034249,0,0,4.227926918,0,0,0,0,2.060438966,1.648044743,1.512018052
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE BY P53 CLASS MEDIATOR,GOBP,GO:0042771,1.528193973,0,1.374417947,0,0,0,0,3.134860967,2.842068736,0
REGULATION OF DEVELOPMENTAL GROWTH,GOBP,GO:0048638,0,1.629483139,0,0,0,1.861846015,1.45448858,0,1.663856428,0
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001242,0,0,1.484047651,0,0,1.76879661,0,2.116809089,0,3.575884958
RESPONSE TO KETONE,GOBP,GO:1901654,0,0,0,0,0,0,2.247546967,2.754628542,3.753282488,1.442203819
RESPONSE TO MINERALOCORTICOID,GOBP,GO:0051385,0,0,0,0,2.517795456,0,1.81684712,0,1.723380491,3.097267827
RESPONSE TO NUTRIENT,GOBP,GO:0007584,0,0,0,0,1.438238635,2.036890782,0,1.407361304,1.566812558,0
ORGANIC ACID BIOSYNTHETIC PROCESS,GOBP,GO:0016053,0,0,0,2.451709658,0,0,0,3.335451158,5.707985018,1.656593252
RESPONSE TO PEPTIDE,GOBP,GO:1901652,0,0,5.276520459,0,1.573430507,0,0,2.865904778,3.572548892,0
NEGATIVE REGULATION OF TRANSPORT,GOBP,GO:0051051,4.082176555,0,1.815314883,0,1.857662206,0,0,0,1.45604313,0
3'-UTR-MEDIATED MRNA STABILIZATION,GOBP,GO:0070935,0,0,1.951020918,0,1.894864537,0,2.257676125,0,2.358791823,0
TELENCEPHALON DEVELOPMENT,GOBP,GO:0021537,2.267502217,2.987719321,2.648927022,0,0,1.744989616,0,0,0,0
POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS,GOBP,GO:0045732,0,0,1.323237489,0,0,0,0,2.512504227,2.088655732,1.372884801
POSITIVE REGULATION OF NEUROGENESIS,GOBP,GO:0050769,2.418127947,4.028494634,2.959995458,1.863484638,0,0,0,0,0,0
MRNA PROCESSING,GOBP,GO:0006397,1.32211875,2.568832961,5.547824384,0,0,0,0,0,0,5.011902812
POSITIVE REGULATION OF CYTOPLASMIC TRANSPORT,GOBP,GO:1903651,1.416082676,1.387365162,1.666463967,0,0,0,0,0,2.8544121,0
OVULATION,GOBP,GO:0030728,0,0,0,1.545675784,2.220217931,4.161353651,0,1.352661508,0,0
CELL PART MORPHOGENESIS,GOBP,GO:0032990,2.89802342,2.077578867,1.426920083,2.753582558,0,0,0,0,0,0
REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,GOBP,GO:1901796,0,0,2.547309768,0,0,0,0,1.812852099,2.048969467,1.762051584
MRNA CATABOLIC PROCESS,GOBP,GO:0006402,0,2.491124461,2.138299845,0,0,0,0,8.56477997,0,28.12380173
B CELL ACTIVATION,GOBP,GO:0042113,3.143707592,3.545017298,1.902007797,0,0,0,0,0,0,1.814827411
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS,GOBP,GO:0071363,2.428126374,1.952793618,2.496830301,0,0,0,0,0,2.946675257,0
NEURON DEATH,GOBP,GO:0070997,1.330642525,0,2.317470156,0,0,0,0,1.805748406,1.756860319,0
REGULATION OF ERYTHROCYTE DIFFERENTIATION,GOBP,GO:0045646,0,0,2.294014385,0,0,0,0,2.199118863,1.339705639,1.692121153
LEARNING OR MEMORY,GOBP,GO:0007611,2.743030654,0,2.382369232,0,0,0,0,1.338887217,2.02641467,0
HETEROCYCLE CATABOLIC PROCESS,GOBP,GO:0046700,0,2.307862972,1.886266145,0,0,0,0,7.279829398,0,16.19883931
STEROL METABOLIC PROCESS,GOBP,GO:0016125,0,0,1.906688798,0,1.454439942,0,1.339039556,0,1.470402536,0
REGULATION OF CHROMATIN ORGANIZATION,GOBP,GO:1902275,0,0,2.111089217,1.619750057,0,0,0,1.395028122,0,1.707716457
NCRNA PROCESSING,GOBP,GO:0034470,0,2.185185176,0,0,1.761095084,0,0,1.98683983,0,13.68712234
IMMATURE B CELL DIFFERENTIATION,GOBP,GO:0002327,1.553987426,1.524763654,0,0,0,0,0,2.594468498,0,1.587675409
G1 DNA DAMAGE CHECKPOINT,GOBP,GO:0044783,0,2.303578935,2.544247371,0,0,4.293742861,0,2.889062699,0,0
POSITIVE REGULATION OF PROTEOLYSIS,GOBP,GO:0045862,0,0,1.720988104,1.353865206,0,0,0,2.023553724,1.803037416,0
MITOTIC G1 DNA DAMAGE CHECKPOINT,GOBP,GO:0031571,0,2.337935082,2.592830129,0,0,4.327443691,0,2.930444189,0,0
GROWTH,GOBP,GO:0040007,2.046095824,0,0,2.320349252,0,1.665709962,0,1.452304524,0,0
REGULATION OF DNA METABOLIC PROCESS,GOBP,GO:0051052,0,1.451306928,2.528089721,1.613931244,0,0,0,0,0,2.039589609
MITOTIC CELL CYCLE CHECKPOINT,GOBP,GO:0007093,0,0,1.44958078,0,1.405496086,5.489224686,0,3.478141824,0,0
REGULATION OF REACTIVE OXYGEN SPECIES METABOLIC PROCESS,GOBP,GO:2000377,0,1.386380106,0,0,0,1.534363051,0,2.490127454,3.97187183,0
REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS,GOBP,GO:1900180,1.405982261,0,4.343126002,0,0,0,0,0,1.539251238,1.488610589
RESPONSE TO REACTIVE OXYGEN SPECIES,GOBP,GO:0000302,0,0,1.413845589,0,0,0,1.581420935,0,1.683270889,1.861604037
FOREBRAIN DEVELOPMENT,GOBP,GO:0030900,2.49345865,3.47039812,2.373648918,0,0,1.554154388,0,0,0,0
PROTEIN-CONTAINING COMPLEX DISASSEMBLY,GOBP,GO:0032984,0,0,3.756936546,0,0,1.744989616,0,1.306348047,0,2.006959816
LIPID HOMEOSTASIS,GOBP,GO:0055088,0,0,0,1.482011554,1.340702274,3.441147292,2.743722272,0,0,0
MITOCHONDRION ORGANIZATION,GOBP,GO:0007005,0,1.63626004,4.088674282,0,0,0,0,0,1.454785712,3.31652251
RESPONSE TO PROGESTERONE,GOBP,GO:0032570,0,0,0,0,0,0,2.624988933,1.521767158,1.339705639,3.236914376
NEUTRAL LIPID BIOSYNTHETIC PROCESS,GOBP,GO:0046460,0,0,0,0,1.545093197,1.835365545,0,1.400492271,0,1.534628474
REGULATION OF NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0006140,0,0,0,1.977573354,0,0,0,3.339050945,1.817516818,7.308266815
MODIFICATION BY SYMBIONT OF HOST MORPHOLOGY OR PHYSIOLOGY,GOBP,GO:0044003,1.881879133,3.217629503,2.223505284,0,0,0,0,0,0,1.954065334
RNA 3'-END PROCESSING,GOBP,GO:0031123,0,0,3.362316039,0,0,0,0,2.360276724,1.380077807,2.216961556
GLYCOLYTIC PROCESS,GOBP,GO:0006096,0,0,1.436464972,0,1.309363696,0,0,1.726758193,1.497294108,0
REGULATION OF CARBOHYDRATE CATABOLIC PROCESS,GOBP,GO:0043470,0,0,1.588326102,0,0,0,0,3.258892424,1.670915291,5.163323316
NEGATIVE REGULATION OF CELL ADHESION,GOBP,GO:0007162,1.716707873,0,1.338643416,0,0,2.044839075,0,0,1.548108062,0
REGULATION OF T-HELPER CELL DIFFERENTIATION,GOBP,GO:0045622,0,0,0,0,1.3296792,0,0,1.764882271,2.345703936,2.750283192
RESPONSE TO STARVATION,GOBP,GO:0042594,0,0,4.023977909,0,0,0,0,3.432036251,6.11748964,1.383606176
REGULATION OF CELL GROWTH,GOBP,GO:0001558,0,0,0,2.013081521,0,2.368607516,0,1.981539899,3.028544306,0
PROTEIN IMPORT,GOBP,GO:0017038,1.354343118,0,1.970341364,2.182339985,0,0,0,0,0,3.374643036
REGULATION OF CELLULAR AMIDE METABOLIC PROCESS,GOBP,GO:0034248,0,0,4.083334774,1.785974336,0,0,0,1.465765441,0,2.951570164
REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0046626,0,0,1.853742185,1.908152456,1.633404163,2.046009629,0,0,0,0
REGULATION OF TRIGLYCERIDE BIOSYNTHETIC PROCESS,GOBP,GO:0010866,0,0,0,0,1.894864537,2.192882605,0,1.893360002,1.354528041,0
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY,GOBP,GO:0051348,0,0,1.631825965,0,0,2.567024193,0,1.338740657,1.433070238,0
REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION,GOBP,GO:0046637,0,0,0,0,1.650449955,0,0,1.52828414,2.195293487,1.729014644
REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:1904035,0,0,0,0,0,0,1.884019328,4.200532671,1.789102094,3.159046105
PEPTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0043043,0,2.206750874,3.712219498,0,0,0,0,5.095355658,0,22.58417177
REGULATION OF CELLULAR CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0010675,0,1.579442185,0,1.566791675,2.728080637,0,0,1.909560955,0,0
CELLULAR RESPONSE TO OXIDATIVE STRESS,GOBP,GO:0034599,0,0,3.728356115,0,0,0,0,1.619276187,1.978087615,2.401765295
MITOCHONDRIAL MATRIX,GOCC,GO:0005759,0,1.47262738,3.114659824,3.004610278,0,0,0,0,0,4.65457797
RIBOSOMAL SUBUNIT,GOCC,GO:0044391,0,4.089422652,2.805839381,0,0,0,0,5.019238208,0,28.59147387
SMALL RIBOSOMAL SUBUNIT,GOCC,GO:0015935,0,3.273249047,2.585309793,0,0,0,0,1.880825493,0,9.878557014
NUCLEAR MATRIX,GOCC,GO:0016363,2.897986927,0,1.856042022,0,0,0,0,2.115000463,1.893931319,0
MITOCHONDRIAL PROTEIN COMPLEX,GOCC,GO:0098798,0,1.717903404,4.033044683,0,0,0,0,3.090683087,0,12.6330113
RIBOSOME,GOCC,GO:0005840,0,4.227765559,3.704146161,0,0,0,0,5.646098004,0,26.20494264
MITOCHONDRIAL INNER MEMBRANE,GOCC,GO:0005743,0,0,4.436823057,1.340564363,0,0,0,2.928805537,0,8.410484639
FILOPODIUM MEMBRANE,GOCC,GO:0031527,2.054524828,0,2.037276458,0,1.940582682,2.239380984,0,0,0,0
MICROTUBULE ORGANIZING CENTER PART,GOCC,GO:0044450,0,0,1.364586398,0,2.001905174,0,0,1.367942333,2.147341156,0
CELL DIVISION SITE,GOCC,GO:0032153,1.493017773,1.435395733,1.64705118,0,0,0,0,0,1.385874736,0
MICROVILLUS,GOCC,GO:0005902,1.632164401,0,2.403560748,0,0,0,1.777421792,0,2.243686997,0
CELL DIVISION SITE PART,GOCC,GO:0032155,1.738467819,1.677830137,2.008227764,0,0,0,0,0,1.588522204,0
SITE OF POLARIZED GROWTH,GOCC,GO:0030427,2.266896153,0,1.823038712,1.842252002,1.571667775,0,0,0,0,0
CHROMOSOMAL REGION,GOCC,GO:0098687,1.730396565,0,0,1.312660357,0,3.491596929,0,0,0,1.559718845
COLLAGEN-CONTAINING EXTRACELLULAR MATRIX,GOCC,GO:0062023,0,0,0,0,0,2.244100797,2.444988443,0,1.709161056,1.98309944
LARGE RIBOSOMAL SUBUNIT,GOCC,GO:0015934,0,2.065976845,1.319604348,0,0,0,0,3.64582077,0,19.06942782
CELL PROJECTION MEMBRANE,GOCC,GO:0031253,1.316571196,0,1.749456437,1.507807384,0,0,0,0,1.620895019,0
PROTEIN KINASE A BINDING,GOMF,GO:0051018,1.457483544,2.048098509,1.994033862,0,0,0,0,0,1.894226905,0
RNA POLYMERASE II TRANSCRIPTION FACTOR BINDING,GOMF,GO:0001085,2.562919064,3.53808887,1.370258867,0,0,0,0,1.436013499,0,0
STRUCTURAL CONSTITUENT OF RIBOSOME,GOMF,GO:0003735,0,4.783275694,2.305252908,0,0,0,0,5.830981074,0,31.22816076
PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOMF,GO:0004674,0,2.369379372,3.688388161,2.18292326,0,0,0,1.860638753,0,0
MICROFILAMENT MOTOR ACTIVITY,GOMF,GO:0000146,1.488444467,0,0,0,1.545093197,1.835365545,0,0,1.839155598,0
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS,GOMF,GO:0106311,0,2.67484216,4.601125397,1.424835605,0,0,0,2.127543179,0,0
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS,GOMF,GO:0106310,0,2.67484216,4.601125397,1.424835605,0,0,0,2.127543179,0,0
ENZYME INHIBITOR ACTIVITY,GOMF,GO:0004857,0,0,0,0,0,3.710464502,3.303243845,1.545949758,1.652384746,0
TRANSCRIPTION COREGULATOR ACTIVITY,GOMF,GO:0003712,0,2.165118746,1.521030389,1.307886546,0,0,0,0,0,2.239301951
PLACENTA DEVELOPMENT,GOBP,GO:0001890,0,0,0,0,0,0,0,3.594553867,3.784897055,1.398585139
REGULATION OF VIRAL PROCESS,GOBP,GO:0050792,1.347366499,0,0,0,0,0,1.370394367,1.830128738,0,0
REGULATION OF COFACTOR METABOLIC PROCESS,GOBP,GO:0051193,0,0,0,0,0,0,0,2.924389935,1.705076645,4.660103525
PROTEIN TARGETING TO ER,GOBP,GO:0045047,0,1.67465734,0,0,0,0,0,4.48607716,0,29.59525168
POSITIVE REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902107,1.394167977,1.317791298,0,0,0,0,0,1.603840794,0,0
MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION,GOBP,GO:0031109,2.11242768,0,0,1.682178873,0,4.743175038,0,0,0,0
RESPONSE TO ATP,GOBP,GO:0033198,0,0,0,0,2.557652308,1.78003021,0,1.327097371,0,0
ANIMAL ORGAN REGENERATION,GOBP,GO:0031100,0,0,0,0,1.537088189,2.913907656,2.035061301,0,0,0
NEGATIVE REGULATION OF HYDROLASE ACTIVITY,GOBP,GO:0051346,0,0,0,0,0,1.605707991,3.484122638,0,2.167637684,0
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION",GOBP,GO:2000515,0,0,0,0,1.465827043,0,0,0,1.723380491,1.423960828
REGULATION OF DENDRITIC SPINE DEVELOPMENT,GOBP,GO:0060998,1.428295569,3.921273204,5.606253575,0,0,0,0,0,0,0
MAINTENANCE OF LOCATION,GOBP,GO:0051235,0,2.188370028,2.089574292,1.351991239,0,0,0,0,0,0
RESPONSE TO ALCOHOL,GOBP,GO:0097305,0,0,0,0,0,0,1.323760596,1.721476066,4.160508718,0
REGULATION OF CHOLESTEROL METABOLIC PROCESS,GOBP,GO:0090181,0,0,0,1.521972172,1.44123403,0,1.791355315,0,0,0
NEGATIVE REGULATION OF MUSCLE ORGAN DEVELOPMENT,GOBP,GO:0048635,0,0,0,1.800918772,0,0,1.503327274,1.46123358,0,0
PROTEIN DEMETHYLATION,GOBP,GO:0006482,1.312438004,0,0,1.488362191,0,0,0,0,0,2.112511282
CELL PROLIFERATION,GOBP,GO:0008283,2.290219083,1.313505935,0,0,0,1.996957457,0,0,0,0
POSITIVE REGULATION OF FIBROBLAST PROLIFERATION,GOBP,GO:0048146,1.633328689,0,0,0,0,1.476885596,1.538218129,0,0,0
REGULATION OF GENE SILENCING,GOBP,GO:0060968,0,0,0,2.750191308,0,0,0,1.613051334,0,4.180640815
LIPOPROTEIN METABOLIC PROCESS,GOBP,GO:0042157,0,1.528428915,2.386229792,0,0,0,0,1.44028105,0,0
CELLULAR RESPONSE TO LIPOPROTEIN PARTICLE STIMULUS,GOBP,GO:0071402,1.488444467,0,1.953442859,0,0,0,1.898816754,0,0,0
REGULATION OF SYNAPTIC VESICLE CYCLE,GOBP,GO:0098693,1.55148632,2.565333509,1.823930304,0,0,0,0,0,0,0
PRODUCTION OF SMALL RNA INVOLVED IN GENE SILENCING BY RNA,GOBP,GO:0070918,1.344933267,2.041967521,0,0,1.44123403,0,0,0,0,0
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS,GOBP,GO:0015980,0,0,2.016229918,0,0,0,0,2.653029892,0,9.373365456
