,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,Female Anterior Insula,Female BA8/9,Female BA11,Female BA25,Female Nac,Female Subic,Male Anterior Insula,Male BA8/9,Male BA11,Male BA25,Male Nac,Male Subic,female_ancg,female_dlpfc,female_nacc,male_ancg,male_dlpfc,male_nacc
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION",GOBP,GO:2000515,1.795495722,0,0,0,0,0,0,0,0,0,0,1.321284661,0,0,0,0,0,0,0,0,0,0
RESPONSE TO INSULIN,GOBP,GO:0032868,7.971794587,9.130504659,18.21140154,6.050484028,3.150650013,3.565033812,4.483450135,1.760791448,0,1.404464673,1.571314885,5.068145937,4.052527369,12.18614869,1.890314975,3.173944269,5.518324342,0,0,10.63580788,5.891882541,5.70387997
REGULATION OF CELL-SUBSTRATE JUNCTION ASSEMBLY,GOBP,GO:0090109,0,1.863274874,7.612256585,5.455827242,0,0,0,0,2.752052814,0,1.38395005,0,0,8.199530993,0,2.468295972,0,0,0,4.704307043,2.039196223,1.984802741
CELLULAR RESPONSE TO HEXOSE STIMULUS,GOBP,GO:0071331,0,0,1.92742636,0,1.394655569,1.605106749,1.451839692,0,0,0,0,0,0,0,1.524899957,0,0,0,0,0,0,3.581755586
REGULATION OF LONG-TERM SYNAPTIC POTENTIATION,GOBP,GO:1900271,2.212124969,0,2.128377975,1.622697553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.653557558,0
AORTA MORPHOGENESIS,GOBP,GO:0035909,0,0,0,0,0,0,0,0,4.17261428,0,0,1.426972271,1.685620202,1.496330601,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY,GOBP,GO:0050857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547305572,1.517876616
NEGATIVE REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0030809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311731324,1.587203728,0
POSITIVE REGULATION OF JAK-STAT CASCADE,GOBP,GO:0046427,4.867915989,1.466144931,0,1.479722113,0,0,0,0,0,1.4761781,0,0,1.50841143,2.243680502,0,0,2.257738824,0,3.586024559,1.724204858,3.116388502,0
CELLULAR GLUCAN METABOLIC PROCESS,GOBP,GO:0006073,0,0,1.897280902,0,0,0,1.799944725,1.370395781,0,0,0,0,0,1.445801449,1.774463774,0,2.095139274,0,0,1.919834991,1.600691807,0
COLLAGEN-ACTIVATED SIGNALING PATHWAY,GOBP,GO:0038065,1.596859109,1.728588384,0,0,0,3.492744302,0,0,2.21271889,2.188055755,0,0,2.21271889,0,0,0,2.183212077,0,0,3.934443368,1.82687313,0
DIVALENT INORGANIC ANION HOMEOSTASIS,GOBP,GO:0072505,0,1.786689975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACUOLE ORGANIZATION,GOBP,GO:0007033,0,0,1.37834618,0,1.561900867,1.401319191,0,0,0,0,0,1.73159493,0,2.084229068,0,0,0,0,0,0,0,2.000385596
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION,GOBP,GO:0033048,0,0,2.741052168,0,0,0,0,0,0,0,0,1.321284661,0,0,2.147155919,0,0,3.230175366,0,0,0,0
CELL-CELL JUNCTION MAINTENANCE,GOBP,GO:0045217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.377839854,0,0,0,0,0
RESPONSE TO GROWTH HORMONE,GOBP,GO:0060416,0,3.893212022,5.364167534,2.847065104,0,1.38637073,0,0,0,1.480887382,0,0,0,0,0,0,0,0,0,0,0,0
SISTER CHROMATID COHESION,GOBP,GO:0007062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71361854,0,0,0,0
VENOUS BLOOD VESSEL DEVELOPMENT,GOBP,GO:0060841,0,0,0,1.794915048,0,0,0,0,2.272610243,0,0,4.891281898,3.777392124,2.338899968,2.863526883,2.731179439,0,0,0,1.601112848,0,3.141281407
MULTICELLULAR ORGANISM AGING,GOBP,GO:0010259,0,0,3.722240567,0,0,0,0,0,0,0,0,0,1.602363503,0,0,0,0,0,0,1.757456588,2.16454119,0
TRANSEPITHELIAL TRANSPORT,GOBP,GO:0070633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.909984845,0,0,0,0,0
POSITIVE REGULATION OF FILOPODIUM ASSEMBLY,GOBP,GO:0051491,0,0,2.871261889,2.073875202,0,0,0,0,0,0,0,0,0,1.418925598,0,0,0,0,0,0,0,0
RESPONSE TO ACIDIC PH,GOBP,GO:0010447,0,0,1.498554379,2.298261809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF GENERATION OF PRECURSOR METABOLITES AND ENERGY,GOBP,GO:0043467,4.838084866,2.713917027,6.315237496,4.080214181,1.421079045,2.459346307,3.546228251,5.007104532,0,0,0,2.741543193,0,5.642432921,3.381893021,0,2.705170298,1.317509201,0,3.885282867,0,2.941332138
NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0045736,3.96714728,0,4.927204871,2.115156864,0,2.629113284,2.459133014,0,2.813628051,0,0,1.39901794,0,1.456800138,2.230774071,0,1.628439161,3.358020577,2.315321096,3.8338038,3.340797165,5.759167005
IMPORT ACROSS PLASMA MEMBRANE,GOBP,GO:0098739,2.167835087,0,0,0,0,1.470960598,0,0,0,0,0,0,0,0,0,0,0,0,0,1.506451025,3.562663258,0
RESOLUTION OF MEIOTIC RECOMBINATION INTERMEDIATES,GOBP,GO:0000712,0,0,0,1.585260903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395714725,0,0
REGULATION OF TUBE DIAMETER,GOBP,GO:0035296,0,2.015989873,0,3.357570192,2.525242773,1.523705748,0,2.007277965,1.731916407,0,0,0,0,5.444578223,0,2.541164748,2.398073283,1.555136525,0,0,2.938764198,2.847025551
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ORGANELLE,GOBP,GO:0072594,0,0,1.646817067,0,0,0,4.834354093,0,0,0,0,2.470598977,0,3.17672628,0,0,0,0,0,2.42133098,0,3.268493041
REGULATION OF GRANULOCYTE DIFFERENTIATION,GOBP,GO:0030852,0,0,2.112831376,0,0,0,1.972106698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.796645252
NEGATIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION,GOBP,GO:0030857,0,0,2.874068802,0,1.745072768,2.113643274,0,1.471646923,1.322825041,0,0,1.909226864,1.322825041,0,0,0,2.249822667,2.823076997,1.963003279,0,0,0
POSITIVE REGULATION OF ISOTYPE SWITCHING,GOBP,GO:0045830,3.067991912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO INTERLEUKIN-4,GOBP,GO:0071353,0,0,2.082729545,0,2.092769547,1.536842925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF PROTEIN DEPHOSPHORYLATION,GOBP,GO:0035304,2.001577993,0,1.731275981,0,0,1.372863557,1.754519381,0,0,0,0,1.695833104,0,1.58033484,0,0,0,0,0,2.395698751,3.348963995,0
REGULATION OF DENDRITIC SPINE DEVELOPMENT,GOBP,GO:0060998,1.415629056,3.988204,9.57854174,2.361464421,0,1.481091571,0,0,0,1.613854971,2.19446568,0,0,3.21632414,0,1.315594689,0,0,0,1.32864045,0,0
DEFENSE RESPONSE TO VIRUS,GOBP,GO:0051607,3.720938307,0,1.511122404,0,0,3.179504653,2.191516122,3.368959624,0,0,0,0,0,0,0,0,0,0,1.42123117,2.909520906,0,0
NEUROMUSCULAR SYNAPTIC TRANSMISSION,GOBP,GO:0007274,0,0,0,0,0,1.594872884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINTENANCE OF LOCATION,GOBP,GO:0051235,1.780788315,2.73122533,1.883550986,2.758394081,0,0,0,0,3.583451853,0,1.364290596,0,2.077628956,2.210533509,0,1.439043579,0,0,0,2.68280964,2.417596423,1.760911824
POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION,GOBP,GO:0045639,6.86236238,2.473353648,9.360689048,3.223154255,1.915204291,4.354220951,0,3.248295979,0,2.00871883,0,0,0,2.987497691,0,0,0,0,0,5.678647767,4.346161235,5.111064965
REGULATION OF VACUOLE ORGANIZATION,GOBP,GO:0044088,0,0,1.376984626,0,0,0,0,0,0,0,0,0,0,2.21130476,0,0,0,0,0,0,0,1.629696857
MAMMARY GLAND DUCT MORPHOGENESIS,GOBP,GO:0060603,1.998300381,2.19084355,4.076699698,3.283470772,0,0,0,0,0,0,0,0,0,2.369838861,0,0,4.177640116,0,0,1.921384614,2.335093035,0
CELLULAR RESPONSE TO POTASSIUM ION,GOBP,GO:0035865,0,0,0,0,0,0,0,0,0,0,0,0,0,2.658313961,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CELLULAR EXTRAVASATION,GOBP,GO:0002693,0,0,0,2.402783847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCEROLIPID METABOLIC PROCESS,GOBP,GO:0046486,0,0,2.401352761,0,0,0,0,0,0,3.991101903,1.858409238,3.90685276,0,5.587764852,0,0,0,0,1.861707643,4.503264573,0,3.627300774
OSTEOCLAST DIFFERENTIATION,GOBP,GO:0030316,2.485398156,0,0,0,0,0,0,0,0,0,0,2.116571714,0,0,0,0,0,0,0,0,0,0
REGULATION OF B CELL ACTIVATION,GOBP,GO:0050864,4.965980715,0,0,0,0,0,0,1.322358304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURONAL STEM CELL POPULATION MAINTENANCE,GOBP,GO:0097150,0,0,0,0,0,0,0,0,0,0,0,1.743619597,0,0,0,0,0,0,0,1.352453378,0,0
MAMMARY GLAND ALVEOLUS DEVELOPMENT,GOBP,GO:0060749,0,0,4.103065575,2.791455145,0,0,1.865773541,0,0,0,0,1.836856876,0,3.151887204,0,0,2.075533127,0,0,2.497936593,1.721692896,1.691732543
CRISTAE FORMATION,GOBP,GO:0042407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757456588,0,6.915965743
PYRIDINE NUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0019363,1.528251456,0,2.470697861,0,1.371883361,0,2.189786023,0,1.740599773,0,0,0,0,0,1.501735766,0,0,0,0,0,0,0
INOSITOL PHOSPHATE-MEDIATED SIGNALING,GOBP,GO:0048016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.439295392,0
POSTTRANSCRIPTIONAL GENE SILENCING,GOBP,GO:0016441,0,0,0,0,0,0,1.572522282,0,0,0,0,0,0,0,0,0,0,0,1.693424205,0,0,0
RESPONSE TO ALCOHOL,GOBP,GO:0097305,4.455030519,2.237848394,2.664045358,1.783918825,2.345894389,2.871143568,1.445623899,0,0,0,0,2.404645239,1.991674762,2.272646393,1.8776112,0,2.52714146,1.507713244,1.303083323,4.148256038,4.425089726,2.471069071
MYELIN ASSEMBLY,GOBP,GO:0032288,2.435377629,1.532918083,0,0,0,0,0,0,2.009923907,0,0,1.743619597,0,4.082636457,0,0,1.980740382,0,0,1.352453378,0,0
REGULATION OF NEUROMUSCULAR JUNCTION DEVELOPMENT,GOBP,GO:1904396,0,0,0,0,0,0,0,0,0,0,0,2.295324466,0,0,0,0,0,0,0,1.886564955,0,2.145958317
POSITIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH,GOBP,GO:0040018,1.912292323,4.299691907,1.332896642,0,0,1.536842925,0,0,0,0,0,0,2.813628051,0,0,0,1.628439161,2.012443393,0,0,2.246481487,0
REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,GOBP,GO:0001910,1.397994135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRESS GRANULE ASSEMBLY,GOBP,GO:0034063,0,0,2.453851244,1.386718776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF NUCLEASE ACTIVITY,GOBP,GO:0032069,0,0,0,0,0,0,0,0,0,0,0,0,0,1.776555228,0,0,0,0,0,0,0,2.548407228
POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:1902110,0,0,0,0,0,0,1.865773541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNAPSE ORGANIZATION,GOBP,GO:0050808,2.214223826,1.393896465,6.135053137,2.780095132,1.416703951,5.836805124,0,0,0,0,0,0,0,1.395179264,0,0,2.142888039,0,0,2.909502551,2.619786421,0
REGULATION OF BLOOD VESSEL DIAMETER,GOBP,GO:0097746,0,2.015989873,0,3.357570192,2.525242773,1.523705748,0,2.007277965,1.731916407,0,0,0,0,5.444578223,0,2.541164748,2.398073283,1.555136525,0,0,2.938764198,2.847025551
RESPONSE TO ACETYLCHOLINE,GOBP,GO:1905144,0,0,0,2.034144107,0,1.483096955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16454119,0
DORSAL AORTA DEVELOPMENT,GOBP,GO:0035907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886564955,0,3.606364413
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL CELL PROLIFERATION,GOBP,GO:1905564,1.596859109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.183212077,0,0,0,3.094807737,4.458677601
STRIATED MUSCLE CELL PROLIFERATION,GOBP,GO:0014855,0,0,2.200722032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL NERVOUS SYSTEM MYELINATION,GOBP,GO:0022010,2.370153327,0,0,0,0,1.84320228,0,0,1.966415769,0,0,0,0,0,0,0,0,0,0,0,0,0
INTERLEUKIN-12-MEDIATED SIGNALING PATHWAY,GOBP,GO:0035722,0,0,2.047000824,0,0,0,0,0,0,0,0,0,0,3.874702738,0,0,0,0,0,1.313161717,0,0
DNA ALKYLATION,GOBP,GO:0006305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563133059,0,1.919834991,1.600691807,1.559680393
MITOCHONDRION DISTRIBUTION,GOBP,GO:0048311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96259727
LENS MORPHOGENESIS IN CAMERA-TYPE EYE,GOBP,GO:0002089,1.404003163,1.532918083,0,1.540943238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEPTIDYL-THREONINE DEPHOSPHORYLATION,GOBP,GO:0035970,0,1.414353143,3.524426069,1.422259565,7.304247619,4.350424055,0,3.411272068,4.603515982,6.09452043,0,0,1.886051756,1.776555228,0,2.337059973,0,0,0,2.171523705,0,1.480179723
REGULATION OF ACTIVATED T CELL PROLIFERATION,GOBP,GO:0046006,3.238305398,2.573546409,2.259815096,1.703661126,0,0,0,1.528213895,0,1.355316823,0,0,0,0,0,0,1.350817875,1.724501351,0,0,0,1.787133262
REGULATION OF FIBROBLAST MIGRATION,GOBP,GO:0010762,3.627070613,1.911599015,3.491493245,0,0,0,0,0,1.527544867,0,0,0,1.527544867,2.837641434,0,0,0,0,0,4.564548179,3.071622334,4.12490219
REGULATION OF DNA DAMAGE CHECKPOINT,GOBP,GO:2000001,0,0,0,0,0,0,1.917124292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLOOD COAGULATION, FIBRIN CLOT FORMATION",GOBP,GO:0072378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377732936
AMYLOID FIBRIL FORMATION,GOBP,GO:1990000,0,3.570745421,1.503620933,0,1.455020522,0,0,0,0,0,0,1.497679248,4.974700578,3.018590688,0,0,0,0,0,0,1.345258901,0
BLOOD VESSEL REMODELING,GOBP,GO:0001974,0,0,0,0,0,1.409343408,0,1.680172918,0,0,0,0,0,2.007316689,0,0,1.499557785,0,0,0,0,0
POSITIVE REGULATION OF CARDIAC MUSCLE TISSUE GROWTH,GOBP,GO:0055023,0,0,2.871261889,0,0,0,2.416740932,0,0,0,0,2.374118998,0,1.418925598,0,0,1.600790183,0,0,1.795999454,3.282940092,2.160772144
REGULATION OF STEM CELL DIFFERENTIATION,GOBP,GO:2000736,0,0,2.806423156,0,0,0,2.105923449,0,0,0,0,2.755017846,0,3.18006303,0,0,0,0,0,2.318136636,2.451867103,3.840090011
DNA-DEPENDENT DNA REPLICATION MAINTENANCE OF FIDELITY,GOBP,GO:0045005,0,2.323574719,0,0,0,3.006571352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION,GOBP,GO:1901992,1.363619996,0,3.448376614,2.289884003,0,0,0,0,1.603123482,0,0,0,0,2.447286282,0,0,0,0,0,0,0,0
REGULATION OF CHOLESTEROL METABOLIC PROCESS,GOBP,GO:0090181,1.759399057,0,0,0,0,0,0,0,0,0,0,0,0,2.053199077,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CARDIAC MUSCLE CONTRACTION,GOBP,GO:0060452,0,0,0,0,0,0,0,0,2.40759029,0,0,2.135252503,0,1.458761432,0,0,0,0,0,0,0,0
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE,GOBP,GO:0048754,2.98575639,2.097524169,4.418774641,4.23735831,3.568281665,3.027859663,0,2.897620401,3.367185916,0,0,1.344393159,0,2.45050433,1.898307984,0,6.1202828,0,3.011645344,4.169256006,8.312766304,5.327489133
RECEPTOR-MEDIATED ENDOCYTOSIS,GOBP,GO:0006898,3.06030515,0,1.690938078,0,0,0,0,1.647823879,1.874907989,1.817663238,0,0,0,1.363335452,0,0,3.024365593,0,0,0,1.450354823,0
NEGATIVE REGULATION OF MUSCLE ORGAN DEVELOPMENT,GOBP,GO:0048635,0,2.35656391,2.722584094,2.371957087,1.691059028,2.034465808,0,1.419213748,0,0,0,0,0,1.531733428,0,0,0,0,0,0,0,2.484895408
HINDBRAIN MORPHOGENESIS,GOBP,GO:0021575,1.483779517,0,0,0,0,0,0,0,1.359283175,0,0,0,1.359283175,3.240786162,0,0,1.331923789,0,0,0,0,0
KIDNEY EPITHELIUM DEVELOPMENT,GOBP,GO:0072073,3.781935319,3.544208625,3.318635275,0,1.746740653,0,0,0,0,0,0,0,0,1.543702553,0,0,3.36354406,0,0,3.570853197,3.898030839,2.338005796
GLUCAN METABOLIC PROCESS,GOBP,GO:0044042,0,0,1.897280902,0,0,0,1.799944725,1.370395781,0,0,0,0,0,1.445801449,1.774463774,0,2.095139274,0,0,1.919834991,1.600691807,0
REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,GOBP,GO:0010574,2.773311423,2.022328997,0,0,0,0,0,0,0,0,0,1.346242158,0,1.382593607,3.603633602,0,0,0,0,3.69094211,0,2.120727294
POSITIVE REGULATION OF ENDOPEPTIDASE ACTIVITY,GOBP,GO:0010950,3.070605453,2.395848785,4.371065865,3.014887987,0,0,1.929095887,0,0,2.460209405,0,0,0,3.259443933,0,2.026063693,1.798898195,0,0,2.856691657,5.547982038,5.383848702
GLIAL CELL MIGRATION,GOBP,GO:0008347,0,0,0,0,0,1.38637073,0,1.656463478,0,0,0,0,0,0,0,0,0,0,0,1.616865027,0,0
HAIR CELL DIFFERENTIATION,GOBP,GO:0035315,0,0,0,0,0,0,0,0,0,0,0,0,0,1.839285597,0,0,0,0,0,0,0,0
RECEPTOR CLUSTERING,GOBP,GO:0043113,0,0,2.170879461,0,0,0,0,1.490014529,0,0,0,0,0,1.65817059,0,0,0,0,0,3.013735501,1.773827391,1.731792728
RIBOSOME ASSEMBLY,GOBP,GO:0042255,0,0,0,0,0,0,1.518859575,0,0,0,0,0,0,2.285607941,0,0,0,0,0,0,0,0
REGULATION OF HIPPO SIGNALING,GOBP,GO:0035330,1.362966219,1.491182485,2.686926757,1.49916796,0,0,0,0,0,0,0,1.700967805,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF TRIGLYCERIDE BIOSYNTHETIC PROCESS,GOBP,GO:0010867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.662977104,1.948783291,0
RESPONSE TO CORTICOSTERONE,GOBP,GO:0051412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.252352275,2.329151578,2.636036555,3.41492856,2.716124925,1.557642381
REGULATION OF LYMPHOCYTE MIGRATION,GOBP,GO:2000401,1.69948289,0,2.117342745,0,0,0,0,0,0,0,0,1.515447399,0,2.353746577,0,1.475791822,0,0,1.680180217,0,0,1.323241339
NEGATIVE REGULATION OF NECROTIC CELL DEATH,GOBP,GO:0060547,0,1.674637886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.742373805
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:0010389,0,1.621119961,6.691973855,2.135738148,0,0,3.556560142,0,2.970269657,2.226126418,0,0,1.670783637,5.558069948,0,0,1.612925817,7.092767154,0,3.031165524,1.875696048,1.796176663
REGULATION OF DNA RECOMBINATION AT TELOMERE,GOBP,GO:0072695,0,0,0,0,0,0,4.116399782,2.043311505,0,0,0,2.767184479,6.157507872,3.7545143,0,0,0,0,0,0,0,3.760910659
NEGATIVE REGULATION OF CHONDROCYTE DIFFERENTIATION,GOBP,GO:0032331,0,1.414353143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857109534,0,0,0,1.509476595,0
NEGATIVE REGULATION OF MITOCHONDRION ORGANIZATION,GOBP,GO:0010823,0,0,3.980480183,2.185133678,0,0,2.625087197,1.324766098,0,0,0,0,0,2.699920705,0,0,0,0,0,0,1.535110987,1.494534733
LEUKOCYTE DIFFERENTIATION,GOBP,GO:0002521,10.64494033,8.425855767,5.417602296,1.652733464,0,2.368296871,0,2.742053159,0,4.62933369,0,2.872582255,2.802433164,4.796139395,0,0,1.654022028,0,2.864182988,4.374943866,3.405686516,7.621576256
GLOMERULUS VASCULATURE DEVELOPMENT,GOBP,GO:0072012,0,1.577195967,0,1.585260903,0,1.932039714,0,0,0,2.031516858,0,0,0,0,0,0,0,0,0,3.602253251,1.674119361,1.644292314
CELLULAR PROCESS INVOLVED IN REPRODUCTION IN MULTICELLULAR ORGANISM,GOBP,GO:0022412,0,1.543757835,1.995192797,0,0,0,0,0,0,0,2.744916518,0,0,0,0,0,0,0,0,0,0,0
MICROTUBULE-BASED TRANSPORT,GOBP,GO:0099111,0,0,0,0,0,0,0,0,0,0,0,2.177365657,0,2.307898045,0,0,2.072853921,0,0,0,0,0
NEGATIVE REGULATION OF LIPID LOCALIZATION,GOBP,GO:1905953,1.432192789,3.414048228,0,2.476254411,0,0,0,0,0,0,0,2.870676471,3.393939579,4.940360175,0,0,0,0,0,2.967664023,0,2.590196532
NEGATIVE REGULATION OF DNA RECOMBINATION,GOBP,GO:0045910,0,0,3.398904828,0,0,0,3.23735811,0,0,0,1.39614683,1.48024823,3.812448983,2.285607941,0,0,0,0,0,0,0,3.727159126
REGULATION OF CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION,GOBP,GO:0062042,1.858625695,0,0,2.001546863,0,0,0,2.646076769,0,0,0,0,0,2.658313961,0,0,0,0,0,0,0,2.062549023
NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0034122,2.401436607,0,0,0,0,0,0,1.568531051,0,0,0,2.053033261,0,3.419593719,0,0,0,1.765611876,0,1.494375935,1.888352003,0
TYPE I INTERFERON SIGNALING PATHWAY,GOBP,GO:0060337,0,0,0,0,0,1.621825552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCOMOTOR RHYTHM,GOBP,GO:0045475,0,0,1.36819058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF PROTEIN COMPLEX DISASSEMBLY,GOBP,GO:0043244,4.532520945,0,2.225723609,0,0,0,0,0,1.837626813,1.795344032,0,0,0,3.739956661,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF OXIDOREDUCTASE ACTIVITY,GOBP,GO:0051354,0,0,0,0,0,1.657861799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377732936
REGULATION OF DOPAMINE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0060159,0,0,0,2.001546863,0,0,0,0,0,0,0,0,0,0,1.369069922,0,2.454678821,0,1.411718963,0,0,0
POSITIVE REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS,GOBP,GO:0032967,0,0,0,0,0,0,0,0,0,0,0,1.486412258,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF SMOOTH MUSCLE CONTRACTION,GOBP,GO:0045987,0,0,0,0,0,0,0,0,1.746751705,0,0,0,0,0,0,0,0,0,0,0,1.375421616,0
NIK/NF-KAPPAB SIGNALING,GOBP,GO:0038061,0,0,3.407258814,3.034800842,0,0,4.655011206,0,2.423386785,1.556328188,0,2.731104987,1.588994732,6.177424957,0,0,2.369260641,0,1.475074373,4.899451157,3.283554198,3.199773872
REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051090,6.609105262,7.289776788,17.06231267,9.387212999,7.026964913,8.553525446,12.18584457,7.67364268,3.805477459,6.344461062,4.292447448,11.01771869,10.56689241,21.474832,2.820783545,1.321074008,4.92170725,3.448119218,4.671522975,12.49510164,11.20135232,14.82208723
MODULATION BY SYMBIONT OF HOST CELLULAR PROCESS,GOBP,GO:0044068,0,3.833308738,1.754731041,0,0,0,3.260771479,0,0,0,0,0,0,1.92038418,0,0,0,0,0,1.584709784,0,2.917326279
NEURAL TUBE PATTERNING,GOBP,GO:0021532,0,0,0,0,0,0,0,0,0,0,0,1.372131732,0,2.201831126,0,0,0,0,0,0,0,0
MEMBRANE DOCKING,GOBP,GO:0022406,0,0,2.808695907,0,0,0,0,0,0,0,0,0,0,0,0,0,2.447938428,1.86919059,0,1.829812377,0,0
NEGATIVE REGULATION OF RESPONSE TO FOOD,GOBP,GO:0032096,0,1.849585593,0,0,0,0,2.095174436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO LIPID,GOBP,GO:0071396,7.600733492,4.363838897,5.914501788,2.572862616,2.808029843,3.390638962,4.977167632,2.428520203,0,1.831263703,0,4.21492682,0,10.89547069,0,0,3.30387625,1.979935678,2.180109477,10.04853962,11.02816356,9.924284535
REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION,GOBP,GO:0035023,3.289067067,0,0,1.512022069,0,2.121406164,0,0,1.534507053,1.502129597,0,0,0,0,0,0,5.227322135,0,0,0,0,0
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE BY P53 CLASS MEDIATOR,GOBP,GO:1902165,0,0,0,0,0,0,1.865773541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:1900078,0,3.399601827,4.279115724,2.298261809,0,1.657861799,0,0,0,0,0,2.60346892,0,0,0,0,2.960616027,0,0,0,1.406635399,2.386734628
DEFINITIVE HEMOPOIESIS,GOBP,GO:0060216,0,0,0,0,0,0,0,0,0,0,2.501810982,0,0,0,0,0,0,0,0,0,0,0
